Time (s),CO (ppm),Humidity (%r.h.),Temperature (C),Flow rate (mL/min),Heater voltage (V),R1 (MOhm),R2 (MOhm),R3 (MOhm),R4 (MOhm),R5 (MOhm),R6 (MOhm),R7 (MOhm),R8 (MOhm),R9 (MOhm),R10 (MOhm),R11 (MOhm),R12 (MOhm),R13 (MOhm),R14 (MOhm)
164.4443,0.0,221.3585,106.48,959.1878,3.3606,-33.2968,-40.0356,-40.4707,-7.6633,-23.3451,-30.3503,-26.492,-4.0331,-1.9652,-4.9722,-0.628,-1.9977,-1.3723,1.4683
184.2193,0.0,221.344,106.48,959.8647,1.4384,147.8988,188.3859,207.7984,78.4248,175.57,188.4923,189.38,165.6072,115.7494,187.4064,182.1087,171.1006,146.1559,193.5395
203.9956,0.0,221.4877,106.48,959.3592,0.7819,58.7744,59.1269,100.7812,88.683,169.8584,168.6986,176.5527,194.7383,150.9326,216.4332,222.161,185.0937,168.9371,242.5279
223.7538,0.0,220.9138,106.48,960.3496,0.9292,3.1053,1.9974,8.0019,62.4174,112.0363,74.6259,100.1582,161.4739,124.9866,179.1421,192.7749,159.3464,141.9695,208.4052
243.5268,0.0,219.4178,106.4798,959.8703,0.3306,12.6924,15.8328,17.5267,35.5365,52.2,35.4731,46.4337,175.1369,131.2531,193.0301,213.5542,170.9312,151.589,223.8221
263.2957,0.0,219.3599,106.4794,959.39,3.2648,-34.7556,-43.3262,-44.2737,-12.5187,-32.846,-36.6326,-36.3745,-3.2694,-0.975,-3.9941,2.2138,-1.5703,-2.0796,2.7013
283.0575,0.0,219.362,106.4882,959.9647,1.471,140.122,181.1247,196.3819,73.7529,162.0757,174.1738,178.8768,152.2325,105.9451,170.8898,163.4341,152.655,135.9722,175.3277
302.8294,0.0,219.353,106.452,959.9169,0.9443,65.5669,67.5809,109.704,88.0308,168.0354,169.5225,177.0449,191.1251,142.9706,204.014,209.0699,177.0419,162.7626,228.5839
322.5887,0.0,219.3199,106.3194,959.0594,0.2688,15.4448,17.3953,25.7414,73.1051,133.0586,95.8427,121.7078,197.0176,149.2474,217.5114,233.0928,189.3298,168.554,244.5966
342.3643,0.0,219.3277,106.3509,960.1423,3.1763,-34.6905,-43.6346,-45.1789,-5.7612,-22.444,-32.1991,-29.1564,4.7888,6.3564,4.9325,11.7526,-1.2869,-0.6245,4.6732
362.1506,0.0,219.351,106.4441,959.6698,1.6269,134.2676,173.0622,188.6411,69.5737,158.9643,167.2281,172.1839,143.4642,97.987,160.8753,153.6148,148.6138,129.668,163.2621
381.9247,0.0,219.3286,106.3543,959.3536,0.783,73.5015,77.2438,121.2137,91.1539,175.4696,176.3864,182.5354,202.8262,151.3445,216.6816,216.2882,185.9099,170.9132,238.3893
401.6977,0.0,219.3518,106.4473,960.0262,0.948,4.6416,3.1717,10.9708,66.2789,120.2329,84.7253,109.3951,160.069,124.5437,176.5489,189.1078,158.2777,142.0745,206.6437
421.4711,0.0,219.3266,106.3467,959.8785,0.2425,10.5857,14.0442,16.6678,38.8917,57.1409,37.7645,50.52,180.1149,136.0402,200.0717,219.9561,176.6703,156.0814,229.7704
441.2597,0.0,219.3553,106.4741,959.9744,3.0385,-31.8039,-42.5008,-44.4781,-11.108,-32.2827,-37.05,-37.102,11.322,9.1563,9.2138,13.609,0.6175,0.4413,7.837
460.8336,0.0,219.3638,106.4676,959.905,1.7712,118.115,159.8498,172.5498,63.9027,142.1646,152.3734,157.7862,123.4532,88.7364,147.5437,141.6331,139.7302,122.5697,153.7705
480.3399,0.0,219.3425,106.3304,959.3506,0.9362,84.541,92.5563,136.3344,91.8253,174.4582,181.2854,185.923,185.2858,148.8752,215.5079,211.9155,181.2585,169.2431,234.6719
499.8536,0.0,219.2455,106.32,959.7387,0.2726,12.8816,13.9376,25.6377,78.7243,141.5293,107.3082,132.4802,191.6614,155.4731,223.9455,234.5182,198.1209,178.9715,259.6561
519.3769,0.0,217.4984,106.3226,959.7941,2.8228,-26.5863,-36.3206,-37.5984,1.7956,-8.3131,-22.11,-16.3036,25.9938,23.1638,27.4812,33.2856,20.8406,20.5613,36.9618
538.8677,0.0,217.32,106.4642,959.981,2.1496,98.6625,134.2776,142.5925,52.9386,120.0349,129.5981,135.3713,99.6379,72.7429,123.714,117.3927,121.5281,104.3172,127.4446
558.491,0.0,217.32,106.3378,959.4839,0.7917,99.9644,112.5678,156.9425,95.0716,182.7966,190.8009,195.0018,203.746,157.4846,229.7799,225.8049,193.6125,181.4046,246.1879
578.2478,0.0,217.32,106.32,959.8432,0.9064,8.5279,6.4307,18.9852,72.5609,134.8936,102.7698,125.4608,170.1878,131.9856,186.1126,195.284,163.1334,147.0172,214.7736
598.0207,0.0,217.32,106.32,960.4152,0.3407,6.4683,8.7478,11.3579,42.7493,63.5952,39.1171,55.0848,183.6515,139.686,202.8594,223.6617,181.3166,161.6271,238.212
617.8016,0.0,217.32,106.32,959.3926,2.4887,-22.7745,-31.3846,-32.8164,-4.2419,-20.1252,-25.756,-24.8036,46.1637,33.1529,39.9894,45.8111,28.7612,27.0119,46.7023
637.5891,0.0,217.319,106.32,960.3854,2.3283,85.1279,116.6129,122.5409,45.1768,104.4872,110.6633,114.6492,94.655,62.5965,107.3838,106.6638,109.2798,91.4765,113.017
657.3637,0.0,217.3307,106.32,960.6202,0.9073,108.5393,123.5778,166.9785,94.4475,185.0517,193.6408,195.1729,205.1599,153.4047,223.1972,221.9253,191.2096,178.3663,240.6646
677.1454,0.0,217.2746,106.32,959.2407,0.36,13.0547,12.5294,28.4399,81.5559,147.4555,116.4457,140.846,202.2971,157.2684,225.7521,234.4966,200.9736,180.6918,261.5552
696.9149,0.0,217.4827,106.32,960.2667,2.399,-19.2482,-26.87,-28.1022,11.8786,10.4518,-7.7409,2.1695,51.3634,44.975,59.551,65.1052,48.044,45.0336,71.6156
716.6875,0.0,215.461,106.32,960.4663,2.3388,74.926,102.6227,109.5066,40.227,92.5558,101.1116,102.5028,86.1232,54.6798,96.3094,96.5775,98.9335,83.1228,101.9673
736.4514,0.0,216.9931,106.32,959.5259,0.8034,116.2244,133.0902,175.7256,96.6858,188.2722,198.332,199.9924,215.6561,159.2595,234.5855,236.4271,200.5459,189.7633,256.3526
756.2289,0.0,217.2686,106.32,960.0569,0.8738,11.7561,9.3184,25.6048,76.8055,142.1477,113.9109,134.7741,178.311,136.4857,195.242,203.7694,169.155,152.9137,225.0509
776.0153,0.0,217.4944,106.32,960.3956,0.4305,4.1793,5.4634,8.0814,44.8117,67.2801,39.9209,57.5908,182.3544,137.5678,198.851,218.599,178.6358,160.5602,237.4785
795.7823,0.0,215.6586,106.32,959.3282,2.1559,-15.8507,-21.9828,-23.653,1.913,-9.015,-15.9771,-14.1771,63.7717,49.0759,67.4544,77.3833,54.8442,50.7114,80.9765
815.555,0.0,215.28,106.32,959.9586,2.5192,62.5126,86.3249,91.7097,33.2733,77.4196,83.8016,87.6171,71.0859,45.8706,81.8298,84.0902,86.4373,72.0163,88.8169
835.3389,0.0,215.28,106.32,960.1503,0.8703,124.8874,143.8781,187.174,96.3636,191.0952,200.6648,201.7839,213.4089,157.2491,233.2232,233.7855,196.9162,186.1057,248.8094
855.114,0.0,215.28,106.32,960.3306,0.503,14.3124,12.4514,31.8428,83.2418,152.03,122.214,145.2356,203.8577,156.4046,223.9932,233.3347,196.8638,181.083,262.0876
874.8937,0.0,215.28,106.32,959.8377,1.914,-12.0333,-17.5161,-18.0272,22.5912,30.685,7.9522,18.4292,85.4454,67.2787,92.0734,99.806,72.8323,64.0586,96.8003
894.6521,0.0,215.28,106.32,960.2936,2.6931,51.8583,73.2749,77.7177,28.599,65.1228,73.0784,75.1174,62.2001,38.7799,71.589,72.1771,76.3313,61.8057,75.5848
914.4424,0.0,215.28,106.32,959.8599,0.8427,130.7441,153.237,191.2181,96.6974,189.198,203.258,204.8712,220.198,158.1205,235.5546,235.6627,203.6793,193.2203,258.7424
934.223,0.0,215.28,106.32,959.8284,0.8256,15.6638,12.9882,33.4494,80.4264,149.8496,124.7449,143.3864,185.1291,142.918,204.325,212.785,175.1511,160.7475,229.4048
953.9885,0.0,215.28,106.32,959.8168,0.5769,2.8545,3.3095,5.7452,47.2363,72.5716,42.3604,61.7807,177.0384,136.0971,197.1739,211.4108,176.2618,159.8625,235.8126
973.7592,0.0,215.28,106.32,960.3692,1.6736,-8.8698,-12.9404,-14.099,8.6012,2.434,-5.4932,-2.8663,87.738,70.1819,99.5883,111.3528,75.6315,69.1279,106.3362
993.5285,0.0,215.28,106.32,959.9139,2.8567,38.924,56.6207,60.3376,21.8099,52.3867,55.1999,58.3687,48.8289,30.2408,56.7473,59.0019,61.4089,49.7043,60.8047
1013.3011,0.0,215.28,106.32,960.5188,0.8768,137.5407,163.5962,202.1693,97.518,194.3589,203.2558,206.4454,216.2491,158.774,237.584,235.5875,202.658,192.0083,254.846
1033.0623,0.0,215.28,106.32,959.4263,0.639,17.7917,14.9855,38.2981,85.1028,156.0439,131.0575,150.598,200.7149,155.6895,222.3435,234.3347,193.4754,179.5299,254.5539
1052.8313,0.0,215.28,106.32,960.7397,1.475,-5.0319,-8.468,-8.4828,31.594,47.1355,23.4877,37.5159,115.7913,91.3046,121.0146,126.5564,97.8934,91.0478,134.7922
1072.5933,0.0,215.28,106.32,960.1529,3.004,28.2385,43.2517,47.2963,17.2525,41.4232,43.9132,47.5472,38.8838,23.8231,46.6194,47.8922,52.9098,41.0613,51.1255
1092.3632,0.0,215.28,106.32,959.6898,0.9078,143.0582,172.0278,209.1643,97.6361,193.8929,206.0074,208.032,216.9951,157.8783,239.7756,235.9909,201.9973,194.2059,255.6306
1112.1516,0.0,215.28,106.32,959.7102,0.8006,20.7787,17.9785,42.9763,83.4713,153.4158,134.5878,150.9875,192.572,146.8494,205.9637,215.1359,178.8449,166.302,240.7962
1131.9294,0.0,215.28,106.32,960.6338,0.6755,2.4403,2.3849,5.0265,50.6646,79.9535,47.3126,68.0568,172.691,136.051,196.2645,213.3956,173.9846,156.1265,232.1727
1151.7128,0.0,215.28,106.32,959.9077,1.3484,-2.6958,-4.6338,-5.8101,14.2813,13.1505,4.1978,8.7528,119.8044,86.7484,122.5594,133.2808,102.201,94.0273,143.0422
1171.4948,0.0,215.28,106.32,959.843,3.1603,17.242,27.7471,31.091,11.3359,27.1143,29.1163,29.9946,30.4018,16.415,33.7304,35.5569,40.6591,29.7531,37.9162
1191.2872,0.0,215.2808,106.32,960.0148,0.9401,148.6184,179.5541,213.3003,95.7384,192.5061,202.4757,205.2178,215.4824,155.3051,234.8699,236.0777,205.2121,192.6731,252.9922
1211.0577,0.0,215.2913,106.32,960.2013,0.7167,23.1449,20.2063,47.8101,86.193,158.7286,138.9395,156.106,199.2602,155.0707,219.1621,227.7263,189.215,176.1893,254.6567
1230.8417,0.0,215.1954,106.32,959.6602,1.2129,1.8518,0.2617,0.6817,42.5396,68.3326,40.0054,56.8047,133.5346,105.446,147.9576,160.6885,127.5787,117.0111,174.5559
1250.5293,0.0,215.5779,106.32,960.1757,3.1208,4.9723,12.6586,16.4338,6.7895,16.5222,17.4636,21.2893,18.0989,10.3413,23.2865,24.2327,30.7644,22.4509,28.2114
1270.0459,0.0,214.1226,106.32,959.8707,0.9552,151.6188,187.8113,221.2357,96.9574,195.6648,207.5327,211.8948,199.0621,152.603,238.0914,233.5278,208.1493,195.075,253.3231
1289.5465,0.0,213.2412,106.32,959.8076,0.7848,28.9238,26.4469,57.8496,86.9475,158.9723,146.7427,161.6077,186.8337,153.9557,217.3345,218.1291,187.0032,173.8379,251.1772
1309.0442,0.0,213.24,106.3205,959.6209,0.8019,1.9499,1.6332,5.0795,55.4714,90.7064,55.4677,78.7105,158.819,133.3664,191.3257,203.9218,169.1919,153.0059,227.7249
1328.5567,0.0,213.24,106.3148,959.2691,0.8453,7.7953,8.2637,7.6715,24.6417,31.7433,20.3647,26.3445,141.2751,112.8694,163.5045,173.7617,140.0526,127.6996,192.1807
1348.0606,0.0,213.24,106.3439,959.3649,3.2842,-16.6771,-15.8432,-14.0335,-4.5138,-9.7699,-10.8695,-8.1616,1.9337,-0.948,2.141,4.6302,9.3197,4.6794,8.1266
1367.6156,0.0,213.24,106.2322,960.2608,1.0667,155.3049,195.3783,222.9684,93.0001,191.0609,206.0153,206.8245,189.0031,144.9409,227.8796,223.6899,202.1382,186.0512,237.3345
1387.4207,0.0,213.24,106.2284,959.8546,0.8387,36.8896,35.0168,70.6829,88.8827,162.4148,154.4375,166.163,186.0213,154.9611,219.8235,220.5239,187.5303,175.1223,250.4732
1406.9451,0.0,213.24,106.3191,960.0698,0.6545,12.8892,13.7904,17.2415,60.5288,103.9908,70.8836,93.4606,168.7844,136.576,196.3606,202.7025,170.3946,155.7526,229.1045
1426.4608,0.0,213.24,106.32,959.8883,3.4242,-27.2834,-30.3052,-29.8372,-6.932,-17.7329,-21.2398,-18.7747,0.248,-3.0416,-4.5897,-2.8447,0.4681,-2.3965,0.1953
1445.9658,0.0,213.24,106.32,959.8778,1.2559,154.0933,197.2219,220.1351,89.1312,185.7571,197.1805,203.0643,181.9637,135.1839,218.491,213.1394,196.9653,181.2469,231.3409
1465.4678,0.0,213.24,106.32,960.0179,0.7846,49.0561,48.913,88.6556,91.3636,167.2442,164.2021,172.9596,195.058,158.1143,224.7068,225.6321,192.5927,180.4244,257.5643
1484.9782,0.0,213.24,106.32,959.7115,0.9053,2.6179,1.7057,6.8714,62.9945,107.3816,70.9354,94.7552,158.3041,131.9431,189.926,196.9281,164.8336,150.5798,222.5756
1504.5036,0.0,213.24,106.32,960.1715,0.3999,12.7132,15.9634,17.4545,35.0217,50.1381,34.5159,44.4985,172.7587,136.5792,198.0958,211.5238,174.5313,158.0963,234.4322
1524.011,0.0,213.24,106.32,960.0023,3.3829,-34.1036,-43.2236,-43.82,-13.5226,-33.488,-36.5727,-36.4905,-2.8705,-3.9607,-11.1872,-6.3773,-8.0186,-7.7178,-4.539
1543.5355,0.0,213.24,106.32,959.433,1.4696,142.4966,187.8406,204.2272,79.939,170.329,181.4135,187.5585,163.1969,120.6056,198.9377,193.7135,182.637,164.7652,208.3818
1563.035,0.0,213.2399,106.32,960.8991,0.9445,63.9942,67.3081,109.8392,92.2027,169.2729,171.4509,176.7547,190.4256,155.5425,221.2959,220.9256,187.3476,178.9146,250.1061
1582.5362,0.0,213.2363,106.32,960.2117,0.2684,14.7289,17.0565,25.4487,76.4688,133.9946,98.58,123.7377,194.2946,160.1345,230.7429,240.7118,204.5534,186.9633,271.0221
1602.0918,0.0,213.2421,106.32,959.6906,3.173,-33.0432,-44.0097,-44.8016,-6.2776,-21.9226,-32.155,-28.4124,4.9649,6.0825,2.9964,5.662,0.7759,1.9598,6.9713
1621.5537,0.0,213.2973,106.32,960.164,1.6294,125.6356,169.81,180.8255,71.0168,153.3506,164.3715,169.7913,138.6102,103.8482,173.5013,173.5147,168.1694,148.0233,186.0949
1641.319,0.0,213.0338,106.32,959.8374,0.7852,77.3668,85.5388,128.5635,96.421,178.6715,180.5007,185.3245,204.8099,163.6246,234.3401,233.7028,195.358,189.715,263.2217
1660.9871,0.0,211.3506,106.32,959.09,0.9386,5.4793,3.9683,12.7609,69.8266,124.3638,89.7312,114.6491,160.079,134.4741,189.5724,195.4747,166.6317,153.4784,225.6011
1680.5027,0.0,211.225,106.32,959.9913,0.2561,9.165,12.1137,14.7469,41.2872,59.5376,38.3649,52.4066,181.6501,146.4366,214.2423,230.4057,189.5092,171.5845,254.214
1700.0034,0.0,211.3373,106.32,959.7425,2.8558,-29.2923,-39.3851,-41.1195,-9.1916,-28.1088,-33.0752,-33.767,18.5412,17.8706,20.4402,22.7845,6.8531,7.4418,18.6528
1719.5211,0.0,213.0183,106.32,959.7893,1.9504,107.334,144.9763,154.4603,58.6857,126.629,134.6541,142.4121,120.4679,86.5008,147.5735,143.9655,142.3905,124.4602,157.529
1739.0396,0.0,211.4318,106.32,959.8188,0.9166,96.6166,108.6281,153.3278,96.42,178.8456,187.2914,191.7041,200.0211,158.7389,231.3078,228.1314,194.7565,185.0105,256.1497
1758.5484,0.0,211.24,106.32,959.811,0.3195,12.4245,12.6239,26.5808,82.405,146.0653,113.4374,139.0238,200.5393,165.5182,237.4506,241.5147,209.4008,191.8259,278.8703
1778.062,0.0,211.24,106.32,959.4933,2.5918,-22.1528,-31.0108,-32.211,7.2243,2.0804,-13.7648,-6.323,40.6288,35.3687,43.4304,48.1395,34.6871,33.7637,56.6754
1797.5759,0.0,211.24,106.32,959.8497,2.3421,84.1283,116.2623,123.0828,46.7438,103.8866,111.914,117.2349,93.6156,66.2633,116.5346,115.3361,118.5472,100.9733,124.6709
1817.0806,0.0,211.24,106.32,959.3862,0.8034,112.061,130.0606,174.612,99.9916,187.3526,197.392,200.8371,209.9972,167.8828,248.8248,240.3385,207.8299,199.3373,270.4754
1836.5888,0.0,211.24,106.32,959.8673,0.8689,11.2816,8.9902,25.0666,78.7549,141.822,113.7318,136.1642,171.0798,142.8118,201.8243,204.7084,172.8263,160.9194,235.1908
1856.107,0.0,211.24,106.32,959.7632,0.452,3.6579,4.744,7.2564,45.6277,67.5275,39.8422,57.913,175.098,143.9777,208.0628,222.3244,184.4657,166.9854,248.6273
1875.6178,0.0,211.2402,106.321,960.4263,2.0997,-13.6256,-19.3793,-21.0233,2.8929,-6.49,-13.2865,-12.1812,65.3137,52.3806,72.7428,79.8952,58.2965,54.6219,87.0725
1895.1383,0.0,211.2383,106.3131,959.6742,2.7121,55.0069,77.8213,82.7978,31.3901,70.7083,75.6799,82.2544,63.2491,43.7265,79.1353,79.1366,84.9092,71.1774,89.9172
1914.6506,0.0,211.2464,106.3456,959.9747,0.8658,130.3687,155.3404,195.0008,99.7938,191.1225,202.0231,206.9846,207.9251,164.1923,244.7077,237.6033,207.8491,197.2114,255.9996
1934.1593,0.0,211.2044,106.1776,960.2091,0.5776,15.4386,12.8821,34.2845,85.587,152.5782,127.4372,147.5307,194.1446,159.4868,225.8921,230.28,196.789,183.5697,264.8642
1953.6927,0.0,211.2296,106.2784,959.907,1.6719,-6.6793,-10.6295,-10.6372,30.1564,43.778,19.8445,32.006,97.4456,83.0301,116.4113,120.4321,97.3258,82.9333,122.9325
1973.2113,0.0,211.24,106.32,960.536,2.854,33.5276,50.3181,53.9179,20.4122,46.627,50.4845,54.4731,43.0589,27.6681,52.6797,55.4524,60.1468,47.9423,57.7512
1992.7274,0.0,211.24,106.32,960.0662,0.8743,141.7631,172.0176,209.9598,100.5755,195.1075,206.8516,210.7431,209.7071,163.3976,247.5871,239.8803,210.8257,201.3763,264.4273
2012.2256,0.0,211.24,106.32,960.0516,0.7904,20.4523,17.7138,43.2746,85.2891,154.6469,136.1223,153.8896,182.3228,151.0511,213.7042,216.5207,184.174,171.5719,246.4211
2031.738,0.0,211.24,106.32,960.3527,0.7159,2.2796,2.1715,4.8521,51.6824,81.4997,48.285,69.9812,165.3722,136.6004,196.6439,206.6797,173.1986,160.082,238.1059
2051.2682,0.0,211.24,106.32,960.1521,1.2154,0.0395,-1.4524,-2.329,17.221,17.7752,7.8038,11.8135,117.825,95.3429,136.9703,147.2115,113.2453,100.7808,151.3645
2070.7962,0.0,211.24,106.32,960.0471,3.126,7.6776,16.2772,18.7271,6.9881,17.7262,20.2486,22.9794,19.9491,11.6682,25.5703,26.7187,33.3031,22.9679,27.7823
2090.3016,0.0,211.24,106.32,959.8334,0.9374,152.695,190.274,221.9983,98.6564,194.3675,206.3552,211.6214,202.6914,158.0387,242.126,234.7949,210.201,198.9259,259.6932
2109.8172,0.0,211.24,106.32,959.5665,0.7678,27.0792,24.4397,55.5759,88.8491,159.5938,145.8017,161.2279,189.0743,156.3933,221.0201,223.5389,191.3326,179.6277,258.5935
2129.326,0.0,211.2396,106.3183,960.0483,0.9764,7.1609,6.3538,7.964,50.9082,83.5753,52.9,72.6185,149.3674,123.1417,171.4603,177.6697,147.1637,135.5106,200.1332
2148.8313,0.0,211.2429,106.3317,960.6639,3.3469,-10.8552,-7.5095,-5.6241,-0.1447,-0.0437,-0.4856,2.1278,9.0763,2.7383,8.6074,9.8084,15.3758,9.4022,12.6633
2168.3453,0.0,211.2302,106.2807,959.892,1.0803,157.5622,193.1394,223.0058,95.855,193.0089,204.8942,212.2496,195.4909,148.2976,233.9992,225.6744,208.3801,194.017,249.3057
2187.8518,0.0,211.1987,106.1547,960.3189,0.7866,36.6068,34.8451,70.281,90.5665,163.0906,154.0534,166.7016,190.6437,156.3924,222.0668,225.3982,189.7286,180.0258,258.1802
2207.3571,0.0,211.208,106.192,960.2573,0.8388,1.9953,1.3988,5.5906,59.9448,98.9931,62.5504,86.7743,159.8973,134.4675,193.1326,203.1427,168.1916,155.78,225.8423
2226.8836,0.0,211.2387,106.3146,959.3741,0.6533,11.0454,12.8897,12.913,29.7711,41.076,27.1541,34.9367,159.8703,126.6446,181.8308,190.57,154.8844,142.2783,210.2522
2246.3741,0.0,211.24,106.32,960.318,3.425,-26.7555,-30.2636,-29.7356,-9.66,-23.3222,-23.4814,-22.2252,-4.4474,-3.438,-6.0569,-5.2879,-0.2105,-3.452,-1.0872
2266.0341,0.0,211.24,106.32,960.0695,1.2416,154.8275,200.3843,218.3578,89.8188,188.3506,194.5548,198.5487,190.5926,139.4326,219.371,216.8336,194.5874,179.867,230.2698
2285.808,0.0,211.24,106.32,960.228,0.8691,46.1808,45.471,84.731,91.47,167.3409,160.8939,169.1845,207.9013,156.6115,220.3974,227.0566,186.8414,177.9424,251.1953
2305.6,0.0,211.24,106.32,959.6727,0.5468,14.3264,15.9673,20.44,66.8315,116.3018,80.8726,103.9713,188.4942,146.2197,208.1014,220.6652,182.1097,165.6574,241.173
2325.3889,0.0,211.24,106.32,960.268,3.3342,-30.7141,-36.3538,-35.5136,-8.0009,-21.0788,-25.877,-22.6547,-2.7893,-2.8164,-5.1617,-3.4614,-1.1183,-2.6866,0.0276
2345.1724,0.0,211.2399,106.3197,959.7678,1.2621,154.0401,196.9859,213.3128,87.7082,183.0816,192.6487,196.5551,187.0587,132.8,209.6478,211.8626,192.7876,176.004,223.8553
2364.9565,0.0,211.2402,106.3207,960.5316,0.7842,53.416,53.721,94.1087,93.3512,170.0186,166.6175,173.7351,210.9124,160.7417,227.1434,233.2661,190.6973,182.5053,251.2295
2384.7299,0.0,211.2406,106.3225,960.166,0.9015,2.7891,1.8693,7.4195,64.2171,109.8858,73.1869,97.7011,172.576,134.6021,190.9171,198.6688,167.3891,153.0099,224.9097
2404.5049,0.0,211.2366,106.3065,959.6045,0.427,12.4861,15.2318,16.7723,35.575,51.0336,34.3908,44.3946,180.8469,136.5931,198.5683,215.5774,173.7179,158.178,232.0334
2424.2794,0.0,211.2053,106.1811,959.631,3.3143,-32.7276,-40.5151,-41.219,-13.082,-31.8564,-34.1724,-33.5622,-4.9454,-4.2899,-8.4325,-4.2668,-5.4505,-5.873,-3.3476
2444.0584,0.0,211.2369,106.3074,960.3162,1.3485,143.665,183.8534,204.8279,83.085,175.2594,182.392,186.7618,174.6707,124.0071,201.7567,202.3769,184.7184,168.6474,214.5937
2463.8278,0.0,211.24,106.32,959.5308,0.9291,58.638,60.7913,102.4238,92.7502,169.4061,168.6249,174.8771,205.7215,157.3137,222.1498,224.6533,184.5801,178.1334,247.5582
2483.5997,0.0,211.24,106.32,960.1483,0.3309,15.6166,17.7093,24.9877,74.4381,130.4782,93.8075,118.6754,202.3795,154.831,225.5126,240.3672,197.0536,181.2248,258.9379
2503.3713,0.0,211.24,106.32,959.9007,3.266,-34.8602,-43.472,-43.724,-7.8544,-23.7668,-31.294,-27.7467,-2.6613,0.7666,-2.4561,2.5705,-1.2183,-1.0842,1.0608
2523.1582,0.0,211.24,106.3198,960.1491,1.4876,142.0556,183.5725,198.277,79.0408,168.5467,175.916,180.6395,174.0896,117.3571,192.8269,188.9224,178.5746,161.1823,202.2719
2542.9382,0.0,211.2402,106.3208,959.5172,0.7819,67.4356,70.4743,113.2406,95.3677,175.9365,175.0625,179.8812,217.3958,162.8228,233.0434,235.6348,195.0865,186.8025,259.4273
2562.7208,0.0,211.2397,106.3189,960.1153,0.944,3.8462,2.6176,9.8695,68.1629,120.0373,82.9111,107.2873,170.5026,134.6477,190.1222,202.5505,166.8969,154.03,225.3113
2582.5085,0.0,211.2405,106.322,960.0581,0.2684,12.3832,15.4186,17.6102,39.7615,58.0452,38.6025,50.4411,187.4911,144.9464,211.2995,232.1193,185.1836,166.3001,244.2643
2602.2897,0.0,211.204,106.1761,960.4011,3.1736,-35.2557,-43.9918,-45.2142,-13.1158,-34.5454,-38.0758,-37.9202,1.1895,2.9752,0.1405,5.9318,-3.0985,-5.2423,-0.6373
2622.0734,0.0,211.2352,106.3007,959.5983,1.6115,135.3237,173.3734,186.1072,74.0343,160.1204,167.3018,171.6046,158.4877,110.6091,181.0531,180.4435,170.6817,152.8692,192.0396
